_id;cc_collectiveCodeOwnership;cc_errorCulture_Consolidated;cc_intendedKnowledgeDistribution;cc_longTermThinking;cc_qualityOrientation_1;cp_codebaseSize;cp_defectConsequences_Consolidated;cp_defectConsequences_business;cp_defectConsequences_disruptOtherTeams;cp_defectConsequences_environment;cp_defectConsequences_financialLoss;cp_defectConsequences_humanLife;cp_defectConsequences_law;cp_defectConsequences_lossOfService;cp_defectConsequences_reputation;cp_defectConsequences_systemFailure;classification;cp_obligations_contractual;cp_obligations_legislative;cp_obligations_none;cp_typeOfSoftware;ct_actualKnowledgeMax;ct_actualKnowledgeMedian;ct_actualKnowledge_veryExperienced;ct_actualKnowledge_veryLittleExperienced;ct_companySize;ct_country;ct_openSource;ct_spatialDistribution;ct_teamSize
64;Y;5;generalists;4_longTerm;lowTimeToMarket;3_100001to500000;4;Y;N;N;Y;N;Y;Y;N;N;agile;N;N;Y;standardsoftware;?;?;050percentOfTeam;?;5_251to500;germany;opensource;distributed;030
62;N;6;generalists;3_mediumToLongTerm;lowTimeToMarket;3_100001to500000;6;N;N;N;N;N;N;N;Y;N;agile;N;N;Y;standardsoftware;?;?;030percentOfTeam;?;6_501to1000;germany;closedsource;distributed;005
51;N;7;specialists;0_shortTerm;?;?;3;Y;N;N;Y;N;N;Y;N;N;adhoc;?;?;?;inhouse;?;?;?;?;8_10001orMore;poland;closedsource;collocated;002
31;Y;7;?;1_shortToMediumTerm;?;?;5;Y;N;N;Y;N;N;N;Y;Y;adhoc;?;?;?;contractor;?;?;?;?;1_11to25;germany;closedsource;collocated;004
55;N;2;specialists;3_mediumToLongTerm;lowTimeToMarket;5_1000001to10000000;6;N;N;N;N;N;N;N;N;Y;adhoc;?;?;?;contractor;?;?;010percentOfTeam;?;1_11to25;germany;closedsource;collocated;003
39;N;6;generalists;3_mediumToLongTerm;highQuality;0_upTo10000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;adhoc;N;N;Y;embedded;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;collocated;006
42;N;4;specialists;4_longTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;?;?;?;?;?;?;?;?;5_251to500;germany;closedsource;collocated;007
41;Y;?;generalists;0_shortTerm;?;?;6;N;N;N;N;N;N;N;N;Y;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;germany;closedsource;distributed;003
33;Y;5;generalists;4_longTerm;?;?;6;N;N;N;N;N;N;N;Y;N;adhoc;N;N;Y;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;015
58;N;6;specialists;2_mediumTerm;?;1_10001to50000;5;Y;N;N;Y;N;Y;Y;Y;N;classic;N;N;Y;contractor;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;5_251to500;netherlands;closedsource;collocated;009
44;N;7;specialists;3_mediumToLongTerm;?;?;5;Y;N;N;N;N;Y;N;N;N;agile;?;?;?;saas;?;?;?;?;2_26to50;germany;closedsource;?;015
37;N;5;generalists;0_shortTerm;?;?;7;Y;N;N;N;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;?;germany;closedsource;distributed;005
60;Y;7;generalists;4_longTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;6_501to1000;usa;closedsource;collocated;008
53;Y;6;specialists;2_mediumTerm;?;?;5;Y;N;N;N;N;N;N;N;Y;classic;?;?;?;standardsoftware;?;?;?;?;4_101to250;poland;closedsource;collocated;005
63;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;classic;?;?;?;education;?;?;?;?;3_51to100;poland;?;?;000
67;Y;6;generalists;1_shortToMediumTerm;?;?;6;N;Y;N;N;N;N;N;Y;N;classic;?;?;?;games;?;?;?;?;4_101to250;uk;closedsource;collocated;007
65;N;5;?;3_mediumToLongTerm;?;?;7;N;N;N;N;N;N;Y;Y;Y;adhoc;?;?;?;standardsoftware;?;?;?;?;2_26to50;poland;closedsource;?;007
68;Y;7;generalists;1_shortToMediumTerm;lowTimeToMarket;2_50001to100000;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;inhouse;4_veryExperienced;4_veryExperienced;090percentOfTeam;000percentOfTeam;7_1001to10000;uk;closedsource;collocated;003
230;Y;5;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;0_1to10;germany;opensource;distributed;003
69;Y;7;specialists;3_mediumToLongTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;Y;N;N;standardsoftware;?;?;090percentOfTeam;010percentOfTeam;0_1to10;?;closedsource;distributed;004
74;Y;6;generalists;4_longTerm;lowTimeToMarket;0_upTo10000;5;Y;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;saas;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;0_1to10;uk;closedsource;distributed;004
86;N;6;specialists;?;?;?;4;N;N;N;Y;N;N;N;N;N;adhoc;?;?;?;contractor;?;?;?;?;4_101to250;russia;closedsource;distributed;013
73;Y;6;generalists;4_longTerm;highQuality;6_10000001orMore;6;N;N;N;N;N;N;Y;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;090percentOfTeam;000percentOfTeam;1_11to25;canada;closedsource;collocated;008
72;Y;4;generalists;0_shortTerm;?;?;4;N;N;Y;N;N;N;N;N;N;adhoc;N;N;Y;saas;?;?;?;?;0_1to10;india;closedsource;?;004
89;Y;6;specialists;4_longTerm;highQuality;3_100001to500000;5;Y;N;N;Y;N;N;N;Y;Y;adhoc;?;?;?;standardsoftware;?;?;100percentOfTeam;?;7_1001to10000;usa;closedsource;collocated;006
88;Y;5;specialists;1_shortToMediumTerm;lowTimeToMarket;5_1000001to10000000;6;Y;N;N;N;N;N;Y;Y;Y;agile;N;N;Y;saas;?;?;090percentOfTeam;010percentOfTeam;5_251to500;germany;closedsource;collocated;003
78;Y;7;generalists;4_longTerm;?;?;7;N;N;N;N;N;N;Y;Y;Y;adhoc;?;?;?;saas;?;?;?;?;2_26to50;?;closedsource;collocated;009
82;Y;6;generalists;4_longTerm;lowEffort;2_50001to100000;6;Y;N;N;Y;N;Y;N;Y;Y;agile;N;N;Y;contractor;3_experienced;3_experienced;000percentOfTeam;000percentOfTeam;3_51to100;germany;closedsource;collocated;008
83;Y;7;generalists;4_longTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;Y;N;Y;N;adhoc;?;?;?;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;6_501to1000;usa;closedsource;collocated;004
76;N;7;specialists;3_mediumToLongTerm;lowEffort;3_100001to500000;4;N;N;N;Y;N;N;N;N;N;adhoc;?;?;?;saas;?;?;070percentOfTeam;?;2_26to50;germany;closedsource;collocated;004
80;N;5;generalists;3_mediumToLongTerm;?;?;4;Y;N;N;Y;N;N;N;Y;N;classic;?;?;?;standardsoftware;?;?;?;?;6_501to1000;japan;closedsource;collocated;003
77;Y;2;generalists;?;lowTimeToMarket;3_100001to500000;6;N;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;4_veryExperienced;3_experienced;010percentOfTeam;000percentOfTeam;3_51to100;?;closedsource;collocated;004
87;Y;5;generalists;4_longTerm;?;?;5;N;N;N;Y;N;Y;N;N;N;agile;?;?;?;standardsoftware;?;?;?;?;4_101to250;uk;opensource;collocated;009
91;Y;6;generalists;2_mediumTerm;?;?;6;N;N;N;N;N;N;N;N;Y;agile;?;?;?;saas;?;?;?;?;8_10001orMore;usa;closedsource;distributed;010
84;Y;7;generalists;4_longTerm;?;?;4;Y;N;N;N;N;N;N;N;N;adhoc;N;N;Y;inhouse;?;?;?;?;5_251to500;usa;closedsource;collocated;004
85;Y;7;generalists;4_longTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;classic;N;N;Y;inhouse;?;?;?;?;5_251to500;germany;closedsource;collocated;005
99;N;4;specialists;1_shortToMediumTerm;lowTimeToMarket;5_1000001to10000000;6;Y;N;N;Y;N;Y;Y;Y;Y;classic;?;?;?;inhouse;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;distributed;014
96;Y;7;specialists;4_longTerm;?;?;3;Y;N;Y;Y;Y;Y;Y;Y;Y;adhoc;?;?;?;contractor;?;?;?;?;1_11to25;?;?;distributed;?
98;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;standardsoftware;?;?;?;?;0_1to10;switzerland;closedsource;?;002
105;Y;6;specialists;4_longTerm;?;?;5;Y;N;N;Y;N;Y;Y;Y;N;agile;?;?;?;inhouse;?;?;?;?;8_10001orMore;germany;closedsource;distributed;008
100;N;3;?;2_mediumTerm;?;?;5;N;N;N;N;Y;Y;N;Y;N;classic;?;?;?;inhouse;?;?;?;?;7_1001to10000;usa;closedsource;collocated;007
108;Y;6;generalists;3_mediumToLongTerm;highQuality;2_50001to100000;4;Y;N;N;N;N;N;Y;N;N;agile;?;?;?;inhouse;4_veryExperienced;3_experienced;050percentOfTeam;000percentOfTeam;4_101to250;germany;?;collocated;002
110;Y;7;generalists;4_longTerm;highQuality;1_10001to50000;4;Y;N;N;Y;N;N;Y;Y;N;adhoc;N;N;Y;?;?;?;100percentOfTeam;?;3_51to100;?;closedsource;distributed;003
101;N;6;generalists;3_mediumToLongTerm;lowTimeToMarket;3_100001to500000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;adhoc;?;?;?;?;?;?;?;000percentOfTeam;3_51to100;usa;closedsource;collocated;003
107;Y;6;generalists;3_mediumToLongTerm;lowTimeToMarket;6_10000001orMore;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;standardsoftware;?;?;090percentOfTeam;010percentOfTeam;1_11to25;germany;closedsource;collocated;009
109;Y;5;generalists;3_mediumToLongTerm;lowTimeToMarket;?;3;Y;N;Y;Y;N;N;Y;N;Y;agile;Y;N;N;standardsoftware;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;8_10001orMore;poland;closedsource;collocated;010
114;Y;4;generalists;1_shortToMediumTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;1_11to25;germany;closedsource;distributed;006
102;Y;7;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;N;Y;Y;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;collocated;006
112;Y;7;generalists;1_shortToMediumTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;germany;closedsource;distributed;020
104;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;?;004
116;N;6;specialists;1_shortToMediumTerm;?;?;5;N;Y;N;N;N;N;N;N;N;agile;?;?;?;operatingsystem;?;?;?;?;7_1001to10000;japan;closedsource;distributed;010
118;Y;5;generalists;3_mediumToLongTerm;highQuality;1_10001to50000;6;N;N;N;N;N;N;N;N;Y;agile;N;Y;N;contractor;?;?;030percentOfTeam;030percentOfTeam;4_101to250;turkey;closedsource;collocated;003
120;N;2;specialists;2_mediumTerm;lowEffort;5_1000001to10000000;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;?;?;?;inhouse;?;?;?;?;4_101to250;switzerland;closedsource;collocated;005
119;N;2;generalists;2_mediumTerm;?;?;2;Y;N;Y;Y;N;N;N;N;N;agile;?;?;?;inhouse;?;?;?;?;4_101to250;pakistan;closedsource;distributed;010
121;N;1;specialists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;embedded;?;?;?;?;8_10001orMore;germany;closedsource;collocated;030
143;N;6;specialists;4_longTerm;?;?;4;N;N;N;Y;Y;Y;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;7_1001to10000;germany;closedsource;collocated;005
136;N;6;generalists;4_longTerm;lowTimeToMarket;?;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;inhouse;4_veryExperienced;3_experienced;010percentOfTeam;000percentOfTeam;6_501to1000;germany;closedsource;collocated;005
131;Y;5;generalists;1_shortToMediumTerm;highQuality;1_10001to50000;3;Y;N;N;Y;N;N;N;N;N;agile;N;N;Y;inhouse;?;?;050percentOfTeam;?;5_251to500;germany;closedsource;collocated;004
126;Y;6;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;Y;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;israel;closedsource;collocated;003
122;Y;3;specialists;4_longTerm;highQuality;3_100001to500000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;5_251to500;israel;closedsource;collocated;006
139;Y;5;generalists;0_shortTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;5_251to500;germany;closedsource;collocated;010
134;?;7;specialists;4_longTerm;highQuality;5_1000001to10000000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;saas;?;?;090percentOfTeam;?;8_10001orMore;israel;closedsource;collocated;017
123;N;6;generalists;1_shortToMediumTerm;?;?;5;N;N;N;N;Y;N;N;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;8_10001orMore;israel;closedsource;collocated;006
138;Y;7;generalists;4_longTerm;?;?;4;Y;N;N;Y;N;N;Y;N;Y;agile;?;?;?;standardsoftware;?;?;?;?;4_101to250;israel;closedsource;collocated;010
137;Y;5;generalists;4_longTerm;?;?;4;Y;N;N;Y;N;N;N;Y;N;agile;?;?;?;saas;?;?;?;?;0_1to10;?;closedsource;collocated;003
129;Y;6;specialists;2_mediumTerm;lowEffort;?;6;N;N;N;N;N;N;N;Y;N;agile;?;?;?;standardsoftware;4_veryExperienced;3_experienced;090percentOfTeam;030percentOfTeam;0_1to10;pakistan;closedsource;collocated;003
133;N;6;specialists;4_longTerm;?;?;5;N;N;N;N;N;N;N;N;N;adhoc;?;?;?;saas;?;?;?;?;4_101to250;poland;opensource;collocated;005
124;Y;4;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;adhoc;?;?;?;inhouse;?;?;?;?;7_1001to10000;germany;closedsource;collocated;002
130;Y;?;generalists;4_longTerm;?;?;?;?;?;?;?;?;?;?;?;?;classic;?;?;?;?;?;?;?;?;7_1001to10000;israel;closedsource;collocated;004
141;Y;6;generalists;4_longTerm;highQuality;6_10000001orMore;5;N;N;N;Y;N;N;Y;N;Y;agile;N;N;Y;standardsoftware;4_veryExperienced;2_littleExperienced;010percentOfTeam;030percentOfTeam;5_251to500;germany;closedsource;distributed;007
135;Y;6;generalists;?;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;saas;?;?;?;?;?;poland;closedsource;collocated;004
142;Y;7;generalists;3_mediumToLongTerm;highQuality;6_10000001orMore;6;Y;N;N;Y;N;Y;Y;Y;Y;classic;N;N;Y;contractor;?;?;010percentOfTeam;000percentOfTeam;8_10001orMore;germany;closedsource;?;005
144;Y;?;generalists;3_mediumToLongTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;classic;?;?;?;inhouse;?;?;?;?;8_10001orMore;germany;closedsource;collocated;032
147;Y;2;generalists;0_shortTerm;?;?;4;Y;N;N;N;N;N;N;N;N;agile;?;?;?;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;003
153;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;?;003
149;Y;6;generalists;3_mediumToLongTerm;lowTimeToMarket;6_10000001orMore;5;Y;N;Y;Y;N;Y;N;Y;Y;agile;N;N;Y;standardsoftware;?;?;?;010percentOfTeam;2_26to50;germany;closedsource;collocated;006
168;Y;7;generalists;3_mediumToLongTerm;highQuality;1_10001to50000;6;N;N;N;N;N;N;Y;N;Y;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;collocated;004
177;N;7;generalists;3_mediumToLongTerm;?;?;7;N;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;?;?;?;?;?;5_251to500;germany;closedsource;distributed;015
166;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;adhoc;?;?;?;contractor;?;?;?;?;7_1001to10000;germany;closedsource;?;003
158;N;6;specialists;4_longTerm;highQuality;6_10000001orMore;4;Y;N;N;Y;Y;Y;Y;Y;Y;adhoc;N;N;Y;saas;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;?;germany;opensource;collocated;005
170;Y;5;generalists;3_mediumToLongTerm;lowEffort;?;6;Y;N;N;N;N;N;Y;Y;Y;agile;N;N;Y;saas;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;0_1to10;germany;opensource;distributed;003
152;Y;7;generalists;4_longTerm;highQuality;3_100001to500000;6;N;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;saas;?;?;050percentOfTeam;030percentOfTeam;4_101to250;germany;closedsource;distributed;012
156;Y;1;specialists;1_shortToMediumTerm;?;?;3;Y;N;N;Y;Y;Y;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;4_101to250;germany;closedsource;distributed;004
163;N;?;?;1_shortToMediumTerm;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;collocated;003
165;Y;7;generalists;4_longTerm;highQuality;?;7;Y;N;N;N;N;Y;Y;Y;Y;agile;?;?;?;standardsoftware;?;?;?;010percentOfTeam;4_101to250;germany;closedsource;collocated;004
160;Y;6;specialists;4_longTerm;highQuality;6_10000001orMore;4;Y;N;N;Y;N;N;N;Y;N;classic;N;N;Y;inhouse;?;?;070percentOfTeam;?;7_1001to10000;germany;closedsource;distributed;009
159;?;3;generalists;1_shortToMediumTerm;?;?;6;Y;N;N;Y;N;Y;N;Y;Y;classic;?;?;?;contractor;?;?;?;?;8_10001orMore;germany;closedsource;distributed;250
174;Y;6;generalists;4_longTerm;highQuality;5_1000001to10000000;6;Y;N;N;N;N;Y;Y;Y;N;agile;N;N;Y;mobileapp;4_veryExperienced;4_veryExperienced;070percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;collocated;003
157;Y;6;generalists;3_mediumToLongTerm;?;?;4;Y;N;N;Y;N;N;N;Y;N;agile;?;?;?;inhouse;?;?;?;?;7_1001to10000;germany;closedsource;collocated;004
171;Y;6;generalists;?;highQuality;?;6;N;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;?;4_veryExperienced;2_littleExperienced;030percentOfTeam;030percentOfTeam;2_26to50;?;closedsource;distributed;006
164;Y;3;specialists;2_mediumTerm;lowEffort;3_100001to500000;3;Y;N;N;Y;Y;Y;Y;N;Y;adhoc;N;N;Y;saas;4_veryExperienced;2_littleExperienced;010percentOfTeam;030percentOfTeam;2_26to50;germany;closedsource;?;006
167;Y;6;generalists;1_shortToMediumTerm;?;?;4;Y;N;N;Y;N;Y;N;N;N;agile;?;?;?;inhouse;?;?;?;?;5_251to500;germany;closedsource;collocated;007
172;Y;7;generalists;3_mediumToLongTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;3_51to100;germany;closedsource;collocated;005
178;Y;6;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;N;Y;Y;agile;?;?;?;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;008
162;Y;7;specialists;4_longTerm;lowTimeToMarket;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;Y;N;N;standardsoftware;4_veryExperienced;4_veryExperienced;070percentOfTeam;000percentOfTeam;2_26to50;germany;closedsource;distributed;007
233;Y;7;generalists;3_mediumToLongTerm;?;?;4;Y;N;N;Y;Y;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;?;austria;closedsource;distributed;004
185;Y;?;generalists;4_longTerm;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;contractor;?;?;?;?;7_1001to10000;germany;closedsource;distributed;010
182;Y;7;generalists;1_shortToMediumTerm;highQuality;5_1000001to10000000;5;Y;N;N;Y;N;Y;Y;N;Y;agile;N;N;Y;saas;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;6_501to1000;germany;closedsource;collocated;020
179;Y;7;specialists;4_longTerm;highQuality;3_100001to500000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;Y;N;N;inhouse;4_veryExperienced;4_veryExperienced;070percentOfTeam;000percentOfTeam;6_501to1000;germany;closedsource;collocated;008
187;Y;6;generalists;0_shortTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;education;?;?;?;?;0_1to10;germany;closedsource;collocated;003
173;Y;7;generalists;1_shortToMediumTerm;highQuality;0_upTo10000;5;N;N;N;N;N;N;Y;N;N;adhoc;N;N;Y;contractor;?;?;?;?;3_51to100;austria;closedsource;collocated;003
192;Y;7;generalists;1_shortToMediumTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;collocated;004
184;Y;5;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;classic;?;?;?;contractor;?;?;?;?;7_1001to10000;germany;closedsource;collocated;400
188;Y;?;specialists;1_shortToMediumTerm;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;contractor;?;?;?;?;0_1to10;germany;closedsource;distributed;004
191;Y;6;generalists;4_longTerm;highQuality;1_10001to50000;5;N;N;N;Y;N;N;Y;N;Y;agile;N;N;Y;saas;?;?;030percentOfTeam;?;4_101to250;germany;closedsource;collocated;004
194;Y;6;generalists;4_longTerm;highQuality;2_50001to100000;6;Y;N;N;N;N;Y;Y;Y;N;agile;N;N;Y;contractor;?;?;?;?;5_251to500;?;closedsource;distributed;012
193;Y;?;generalists;4_longTerm;?;?;5;Y;N;N;N;N;N;N;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;germany;closedsource;collocated;005
195;Y;7;generalists;4_longTerm;highQuality;?;3;Y;N;N;Y;N;N;Y;N;N;agile;N;N;Y;saas;?;?;070percentOfTeam;?;6_501to1000;germany;closedsource;collocated;004
224;N;4;specialists;3_mediumToLongTerm;lowTimeToMarket;3_100001to500000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;standardsoftware;4_veryExperienced;2_littleExperienced;010percentOfTeam;100percentOfTeam;6_501to1000;germany;closedsource;distributed;005
183;Y;7;specialists;4_longTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;classic;N;N;Y;inhouse;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;5_251to500;germany;closedsource;distributed;015
181;Y;5;?;0_shortTerm;highQuality;1_10001to50000;6;N;N;N;Y;N;Y;N;Y;N;classic;N;N;Y;contractor;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;collocated;008
232;Y;5;generalists;4_longTerm;highQuality;6_10000001orMore;4;Y;N;N;Y;N;N;Y;N;Y;classic;N;N;Y;saas;?;?;010percentOfTeam;?;8_10001orMore;germany;closedsource;distributed;005
236;Y;6;generalists;4_longTerm;highQuality;?;6;N;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;contractor;?;?;070percentOfTeam;?;3_51to100;austria;closedsource;collocated;003
237;N;3;generalists;0_shortTerm;lowTimeToMarket;1_10001to50000;4;N;N;Y;Y;N;Y;N;N;N;agile;Y;Y;N;saas;?;?;?;?;0_1to10;france;closedsource;collocated;003
244;Y;7;generalists;4_longTerm;?;?;4;Y;N;N;Y;N;N;N;Y;N;agile;?;?;?;saas;?;?;?;?;1_11to25;canada;closedsource;collocated;006
345;Y;5;generalists;4_longTerm;?;?;3;Y;N;N;Y;N;N;N;N;N;agile;?;?;?;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;005
